date,price
2015-01-01,10.0
2015-01-02,10.009563386909317
2015-01-05,9.776149444619847
2015-01-06,9.608433114973746
2015-01-07,9.470313141304016
2015-01-08,9.391479858685765
2015-01-09,9.391479858685765
2015-01-12,9.178576003076603
2015-01-13,9.117907057313737
2015-01-14,9.05659143808484
2015-01-15,9.05659143808484
2015-01-16,9.138573554206289
2015-01-19,9.412072842498516
2015-01-20,9.412072842498516
2015-01-21,9.45033065248074
2015-01-22,9.45033065248074
2015-01-23,9.476090331501668
2015-01-26,9.507792099501573
2015-01-27,9.574753204380222
2015-01-28,9.490849791271538
2015-01-29,9.357453084964924
2015-01-30,9.357453084964924
2015-02-02,9.209670292029132
2015-02-03,9.111175370185693
2015-02-04,8.946070458415864
2015-02-05,9.004590066132403
2015-02-06,9.004590066132403
2015-02-09,9.157644382370123
2015-02-10,9.240032670235953
2015-02-11,9.077976686707162
2015-02-12,9.138863161632484
2015-02-13,9.077120831099526
2015-02-16,9.304091915548016
2015-02-17,9.144437491901302
2015-02-18,9.07600132974083
2015-02-19,9.24167360154456
2015-02-20,9.343704982489877
2015-02-23,9.366965908728496
2015-02-24,9.401866257239009
2015-02-25,9.399065756808543
2015-02-26,9.279734312765651
2015-02-27,9.235433148948584
2015-03-02,9.496598005455564
2015-03-03,9.361339413862108
2015-03-04,9.376563932358804
2015-03-05,9.468873365814195
2015-03-06,9.468873365814195
2015-03-09,9.72185321700876
2015-03-10,9.72185321700876
2015-03-11,9.768285105721992
2015-03-12,9.65304323773598
2015-03-13,9.838544432920482
2015-03-16,9.746051209984335
2015-03-17,9.746051209984335
2015-03-18,9.49868878509275
2015-03-19,9.627111193976477
2015-03-20,9.524405995862582
2015-03-23,9.782363291209156
2015-03-24,9.782363291209156
2015-03-25,9.782363291209156
2015-03-26,9.782363291209156
2015-03-27,9.841988093441305
2015-03-30,9.808287596075706
2015-03-31,9.688571164123774
2015-04-01,9.708702221025518
2015-04-02,9.590063421073658
2015-04-03,9.590063421073658
2015-04-06,10.026102624006636
2015-04-07,10.01882868637361
2015-04-08,10.154370845664381
2015-04-09,9.997335835085448
2015-04-10,10.00691999543407
2015-04-13,10.196682983369564
2015-04-14,10.346943569194114
2015-04-15,10.346943569194114
2015-04-16,10.42623141207882
2015-04-17,10.33293943875685
2015-04-20,10.411765365168993
2015-04-21,10.449787198116537
2015-04-22,10.614445391878712
2015-04-23,10.563720387143704
2015-04-24,10.62764660264554
2015-04-27,10.831518903777344
2015-04-28,10.722640928443193
2015-04-29,10.693093980854977
2015-04-30,10.60288560519221
2015-05-01,10.766130151485095
2015-05-04,11.136449173715963
2015-05-05,11.348219431812375
2015-05-06,11.348219431812375
2015-05-07,11.348219431812375
2015-05-08,11.31189824798006
2015-05-11,11.127209609834342
2015-05-12,10.788194198725671
2015-05-13,10.922599191927404
2015-05-14,10.759425087210007
2015-05-15,10.759425087210007
2015-05-18,10.86289025692146
2015-05-19,10.86289025692146
2015-05-20,10.86289025692146
2015-05-21,10.86289025692146
2015-05-22,11.264530775471739
2015-05-25,11.246008099383957
2015-05-26,11.400327802397875
2015-05-27,11.400327802397875
2015-05-28,11.400327802397875
2015-05-29,11.400327802397875
2015-06-01,11.607782078600707
2015-06-02,11.548918878815046
2015-06-03,11.749802195436326
2015-06-04,11.936268586169744
2015-06-05,11.936268586169744
2015-06-08,11.96554605801248
2015-06-09,12.200809249874242
2015-06-10,12.200809249874242
2015-06-11,11.725164180305118
2015-06-12,11.552923263993401
2015-06-15,11.885642199201119
2015-06-16,11.929016252046106
2015-06-17,11.984594241426787
2015-06-18,11.984594241426787
2015-06-19,12.168965249964133
2015-06-22,12.171032710756625
2015-06-23,12.27268901439095
2015-06-24,12.109999920708637
2015-06-25,11.945954184661064
2015-06-26,12.023488162556102
2015-06-29,12.225546250605294
2015-06-30,12.225546250605294
2015-07-01,12.324409033400785
2015-07-02,12.3143065287729
2015-07-03,12.341697199913314
2015-07-06,12.06468017367282
2015-07-07,12.06468017367282
2015-07-08,11.902500960383037
2015-07-09,11.741271834432311
2015-07-10,11.566473705709765
2015-07-13,11.790968725411165
2015-07-14,11.790968725411165
2015-07-15,11.654121121914265
2015-07-16,11.593243870315687
2015-07-17,11.651417342222615
2015-07-20,11.591236499134029
2015-07-21,11.591236499134029
2015-07-22,11.628412001027224
2015-07-23,11.831964926459689
2015-07-24,11.828182225078606
2015-07-27,12.00158034115665
2015-07-28,12.100509877614355
2015-07-29,12.010730164524677
2015-07-30,12.237871771550504
2015-07-31,12.327716525618873
2015-08-03,12.649276090217167
2015-08-04,12.538187406353748
2015-08-05,12.636078923296228
2015-08-06,12.636078923296228
2015-08-07,12.64766069570962
2015-08-10,12.857464419827863
2015-08-11,13.010913618388498
2015-08-12,13.176602471701104
2015-08-13,13.02764831065511
2015-08-14,13.02764831065511
2015-08-17,13.302045840557165
2015-08-18,13.369843922728435
2015-08-19,13.282166334936454
2015-08-20,13.055352736972539
2015-08-21,13.21425453092108
2015-08-24,13.281253347853243
2015-08-25,13.541667470142903
2015-08-26,13.357001925148644
2015-08-27,13.332443082968586
2015-08-28,13.554661357188165
2015-08-31,13.572092053132709
2015-09-01,13.448505241502518
2015-09-02,13.451158645486588
2015-09-03,13.497302880232912
2015-09-04,13.516592391851024
2015-09-07,13.508895762503808
2015-09-08,13.633717361567493
2015-09-09,13.559238621933535
2015-09-10,13.429971088460672
2015-09-11,13.191674375098392
2015-09-14,12.982688322495058
2015-09-15,12.776352593582823
2015-09-16,12.79052766371778
2015-09-17,12.86990280783972
