date,price
2015-01-01,400.0
2015-01-02,386.2612431944666
2015-01-05,393.594772118458
2015-01-06,418.35140891880246
2015-01-07,393.66681480635697
2015-01-08,389.64865866935264
2015-01-09,374.06731722532805
2015-01-12,365.65005383447874
2015-01-13,388.2544955091305
2015-01-14,372.086313447086
2015-01-15,392.8332334189258
2015-01-16,401.86571042227183
2015-01-19,420.50931014782884
2015-01-20,410.209075161248
2015-01-21,418.58885277834565
2015-01-22,404.46805522957567
2015-01-23,418.42162488427033
2015-01-26,429.4400502758608
2015-01-27,429.4400502758608
2015-01-28,488.6771360422036
2015-01-29,488.6771360422036
2015-01-30,535.6797698076413
2015-02-02,546.4816636273756
2015-02-03,572.2947716451073
2015-02-04,578.3543438917709
2015-02-05,578.3543438917709
2015-02-06,582.524212100945
2015-02-09,559.3450948421664
2015-02-10,592.7994329206223
2015-02-11,592.7994329206223
2015-02-12,621.2444156427598
2015-02-13,621.2444156427598
2015-02-16,707.1002984321265
2015-02-17,718.6191240549523
2015-02-18,738.0491466943698
2015-02-19,738.0491466943698
2015-02-20,797.6280567857922
2015-02-23,862.4645967213742
2015-02-24,828.536047669631
2015-02-25,816.6832731749274
2015-02-26,863.7154739798599
2015-02-27,863.7154739798599
2015-03-02,1087.6207763152163
2015-03-03,1087.6207763152163
2015-03-04,1179.7665634071352
2015-03-05,1142.2888018419294
2015-03-06,1099.2640081988015
2015-03-09,1235.8873515853668
2015-03-10,1211.9824418218
2015-03-11,1242.9377671059585
2015-03-12,1242.9377671059585
2015-03-13,1294.371245656502
2015-03-16,1249.7517341582902
2015-03-17,1265.8073020704128
2015-03-18,1265.8073020704128
2015-03-19,1265.8073020704128
2015-03-20,1242.45209966557
2015-03-23,1320.7723647117255
2015-03-24,1320.7723647117255
2015-03-25,1334.6122056319086
2015-03-26,1334.6122056319086
2015-03-27,1331.6048100257644
2015-03-30,1456.450399775902
2015-03-31,1517.699790955346
2015-04-01,1576.6352136982184
2015-04-02,1576.6352136982184
2015-04-03,1539.7779943353507
2015-04-06,1418.3442405820904
2015-04-07,1409.8531141044382
2015-04-08,1389.9649825643216
2015-04-09,1389.9649825643216
2015-04-10,1422.009606971544
2015-04-13,1521.05510486734
2015-04-14,1682.9742997701903
2015-04-15,1799.0059827430466
2015-04-16,1849.026298416271
2015-04-17,1917.9836540249066
2015-04-20,2088.489094467192
2015-04-21,2035.0305828932599
2015-04-22,1983.604768214332
2015-04-23,1983.604768214332
2015-04-24,1983.604768214332
2015-04-27,1807.1321246434927
2015-04-28,1761.0776941888266
2015-04-29,1766.5055903451694
2015-04-30,1766.5055903451694
2015-05-01,1766.5055903451694
2015-05-04,2085.1988908082794
2015-05-05,1947.484386835251
2015-05-06,1947.484386835251
2015-05-07,1826.2129826479527
2015-05-08,1710.7044107209151
2015-05-11,1752.6996672868586
2015-05-12,1858.683231064504
2015-05-13,1777.0926009460618
2015-05-14,1723.4417338096184
2015-05-15,1723.4417338096184
2015-05-18,1556.684956539879
2015-05-19,1556.684956539879
2015-05-20,1596.1601330035526
2015-05-21,1702.9683460667954
2015-05-22,1592.0342650141968
2015-05-25,1502.0417485344335
2015-05-26,1407.8067253226995
2015-05-27,1383.3562164490472
2015-05-28,1358.038883020051
2015-05-29,1266.905641279966
2015-06-01,1181.5858339873953
2015-06-02,1181.5858339873953
2015-06-03,1291.1007899832562
2015-06-04,1291.1007899832562
2015-06-05,1383.9140638735305
2015-06-08,1388.2357469263407
2015-06-09,1372.29446299477
2015-06-10,1397.0111200793303
2015-06-11,1494.113105326489
2015-06-12,1494.113105326489
2015-06-15,1316.8156858082612
2015-06-16,1236.9755455066825
2015-06-17,1222.525051969719
2015-06-18,1222.525051969719
2015-06-19,1285.4432816976832
2015-06-22,1350.4296636534814
2015-06-23,1424.1704520092205
2015-06-24,1507.9012580085064
2015-06-25,1475.8752261740244
2015-06-26,1402.9897778014981
2015-06-29,1470.879690864973
2015-06-30,1601.8707528586983
2015-07-01,1601.8707528586983
2015-07-02,1601.8707528586983
2015-07-03,1655.3693790232328
2015-07-06,1606.0899715872831
2015-07-07,1653.7045103016187
2015-07-08,1653.7045103016187
2015-07-09,1623.534334310896
2015-07-10,1623.534334310896
2015-07-13,1653.088901245755
2015-07-14,1653.088901245755
2015-07-15,1655.2913991340265
2015-07-16,1750.2785976544476
2015-07-17,1768.259663323316
2015-07-20,1716.0334147378505
2015-07-21,1756.4543594835493
2015-07-22,1661.1263287531262
2015-07-23,1647.222658415068
2015-07-24,1671.8520043626495
2015-07-27,1600.1070100953266
2015-07-28,1574.5894568201145
2015-07-29,1608.321788705274
2015-07-30,1608.321788705274
2015-07-31,1654.7223213955872
2015-08-03,1760.3412682712244
2015-08-04,1878.131021756784
2015-08-05,1997.600150897153
2015-08-06,1884.0012440684823
2015-08-07,1941.935877612881
2015-08-10,2038.8859643724538
2015-08-11,2070.197333009415
2015-08-12,1932.5606364630166
2015-08-13,2047.5257159020327
2015-08-14,2047.5257159020327
2015-08-17,2053.45140745042
2015-08-18,2107.4042824590547
2015-08-19,2168.560165310579
2015-08-20,2090.87351155576
2015-08-21,2020.8694275377563
2015-08-24,2098.225944794517
2015-08-25,2128.966346057183
2015-08-26,2014.7167701825067
2015-08-27,2014.7167701825067
2015-08-28,2146.950052043332
2015-08-31,2085.318137363045
2015-09-01,2163.253243943205
2015-09-02,2141.708687753258
2015-09-03,2206.706047606958
2015-09-04,2138.134301901729
2015-09-07,2182.894586646827
2015-09-08,2168.0050380265443
2015-09-09,2139.4046915572226
2015-09-10,2139.4046915572226
